,File,Input Resistance(v_clamp),Access resistance,-70.0 mV,-60.0 mV,-50.0 mV,-40.0 mV,-30.0 mV,-20.0 mV,-10.0 mV,0.0 mV,10.0 mV,20.0 mV,threshold_index,clipped,threshold_t,threshold_v,threshold_i,peak_index,peak_t,peak_v,peak_i,trough_index,trough_t,trough_v,trough_i,upstroke_index,upstroke,upstroke_t,upstroke_v,downstroke_index,downstroke,downstroke_t,downstroke_v,fast_trough_index,fast_trough_t,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,sampling rate,-100.0 pA,0.0 pA,100.0 pA,RMP,time constant (sec),input resistance (Mo),sag ratio,50.0 pA,200.0 pA,300.0 pA,-50.0 pA,150.0 pA,250.0 pA,350.0 pA,slow_trough_index,slow_trough_t,slow_trough_v,slow_trough_i,adapt,latency,isi_cv,mean_isi,median_isi,first_isi,avg_rate,injected current (pA),-200.0 pA,-150.0 pA,-300.0 pA,-250.0 pA,20.0 pA,40.0 pA,60.0 pA,80.0 pA,-10.0 pA,-5.0 pA,5.0 pA,10.0 pA,15.0 pA,25.0 pA,30.0 pA,35.0 pA,45.0 pA,55.0 pA,70.0 pA,65.0 pA,75.0 pA,85.0 pA,-80.0 pA,-60.0 pA,-40.0 pA,-20.0 pA,120.0 pA,140.0 pA,160.0 pA,180.0 pA,-400.0 pA,400.0 pA,500.0 pA,600.0 pA,700.0 pA,800.0 pA,900.0 pA,1000.0 pA,-500.0 pA,-1000.0 pA,-900.0 pA,-800.0 pA,-700.0 pA,-600.0 pA,-580.0 pA,-560.0 pA,-540.0 pA,-520.0 pA,-480.0 pA,-460.0 pA,-440.0 pA,-420.0 pA,-380.0 pA,-360.0 pA,-340.0 pA,-320.0 pA,-680.0 pA,-660.0 pA,-640.0 pA,-620.0 pA
o5,23128004.abf,187.81261019913688,15.16922944674864,-3.6621094,-0.61035156,-409.5459,-288.6963,-263.67188,-243.53027,-135.49805,-10.375977,0.0,11.59668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7,23128005.abf,215.7126768554066,19.935180944190144,0.61035156,-3.0517578,-0.61035156,-3.0517578,0.61035156,0.61035156,2.4414062,-0.61035156,3.0517578,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8,23128012.abf,201.98249380351172,11.93544522484395,6.1035156,1.2207031,-910.64453,-2313.8428,-2890.625,-2406.6162,-1873.7793,-1348.2666,-758.05664,-168.45703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n41,23128017.abf,363.66817676116807,10.329216476094272,-0.61035156,-1.8310547,-1632.0801,-4911.499,-4508.0566,-4039.917,-3430.7861,-2839.3555,-2205.8105,-1544.1895,1381.0,0.0,0.1381,-42.90771484375,50.0,1400.5,0.14005,27.9998779296875,50.0,1453.5,0.14535,-58.9752197265625,50.0,1393.5,68.38338937658864,0.13935,-1.3427734375,1408.0,-42.60877282637895,0.1408,6.134033203125,1449.0,0.1449,-58.837890625,50.0,0.00225,1.604556731785168,10000.0,0.0,0.0,4.0,-50.520325,0.0404423232423314,429.6875,0.012905812,4.0,2.0,2.0,0.0,4.0,2.0,0.0,,,,,0.0622568093385218,-9.9999999999989e-05,0.0622568093385218,0.0257,0.0257,0.0240999999999999,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o55,23211002.abf,139.60308455326404,18.370816835599523,8.544922,3.6621094,-1547.8516,-1275.6348,-1018.67676,-745.8496,-510.86426,-276.48926,-42.114258,-3.6621094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o56,23211005.abf,269.1457770785502,15.335254181001824,5.493164,-3507.6904,-3157.959,-2763.6719,-2347.412,-1954.3457,-1578.3691,-1163.3301,-765.9912,-355.83496,1205.0,0.0,0.1205,-61.09619140625,-150.0,1223.0,0.1223,24.688720703125,-150.0,7584.0,0.7584000000000001,-69.4580078125,-200.0,1216.0,96.53737177372204,0.1216,-13.336181640625,1231.0,-29.445481788853773,0.1231,7.965087890625,1290.0,0.129,-52.703857421875,-150.0,0.0023999999999999,3.2785122167797263,10000.0,2.0,0.0,0.0,,,3.9672851562502394,-3.874761,0.0,0.0,,2.0,0.0,0.0,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o57,23211010.abf,705.1618424064328,16.152442235164038,4.8828125,-845.3369,-762.3291,-630.49316,-476.07422,-1220.7031,-1001.5869,-738.5254,-349.73145,-1.2207031,4531.333333333333,0.3333333333333333,0.4531333333333333,-42.92805862426758,-100.0,4565.333333333333,0.4565333333333334,10.030110359191896,-66.66666666666667,4220.0,0.422,-46.875,-100.0,4555.333333333333,32.37355965224206,0.4555333333333333,-10.182698249816896,3764.5,-11.89228852748464,0.37645,-4.6234130859375,4793.5,0.47935,-38.330078125,-50.0,0.0036499999999999,2.5427673049905706,10000.0,6.0,0.0,0.0,-31.225586,,153.19824218750006,0.22307345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4985.5,0.49855,-40.252685546875,-50.0,0.1816993464052286,0.1938,0.1816993464052286,0.153,0.153,0.1252,6.0,-100.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o86,23225001.abf,209.88932489894177,16.446755348512085,-6.713867,-2954.1016,-2759.3994,-2483.5205,-2173.462,-1869.5068,-1559.4482,-1241.4551,-931.3965,-615.2344,4490.0,0.0,0.449,-44.097900390625,0.0,4510.0,0.451,33.63037109375,0.0,7779.0,0.7779,-49.8046875,0.0,4501.0,79.0490453572791,0.4501,-6.988525390625,4527.0,-21.7014522399412,0.4527,6.2255859375,4593.0,0.4593,-36.773681640625,0.0,0.003,3.6425693766148286,10000.0,0.0,2.0,2.0,-48.693848,0.0273127404825256,277.70996093749983,0.039564736,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3075.0,0.3075,-37.04833984375,50.0,0.1479554983759212,0.0258,0.3063909358663643,0.3259499999999999,0.33975,0.1806,3.333333333333333,55.0,,,,,0.0,1.3333333333333333,4.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,3.333333333333333,5.333333333333333,3.333333333333333,5.333333333333333,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o87,23225016.abf,213.4118101861557,16.379209181798803,-8.544922,-0.61035156,-660.4004,-1475.2197,-1249.3896,-1077.8809,-855.7129,-619.50684,-365.6006,-160.52246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
