,File,Input Resistance(v_clamp),Access resistance,-70.0 mV,-60.0 mV,-50.0 mV,-40.0 mV,-30.0 mV,-20.0 mV,-10.0 mV,0.0 mV,10.0 mV,20.0 mV,threshold_index,clipped,threshold_t,threshold_v,threshold_i,peak_index,peak_t,peak_v,peak_i,trough_index,trough_t,trough_v,trough_i,upstroke_index,upstroke,upstroke_t,upstroke_v,downstroke_index,downstroke,downstroke_t,downstroke_v,fast_trough_index,fast_trough_t,fast_trough_v,fast_trough_i,slow_trough_index,slow_trough_t,slow_trough_v,slow_trough_i,width,upstroke_downstroke_ratio,sampling rate,-40.0 pA,-20.0 pA,0.0 pA,20.0 pA,40.0 pA,60.0 pA,80.0 pA,RMP,input resistance (Mo),sag ratio,adapt,latency,isi_cv,mean_isi,median_isi,first_isi,avg_rate,injected current (pA),100.0 pA,120.0 pA,140.0 pA,160.0 pA,180.0 pA,200.0 pA,220.0 pA,240.0 pA,-100.0 pA,-80.0 pA,-60.0 pA,260.0 pA,280.0 pA,time constant (sec),-10.0 pA,10.0 pA,30.0 pA,50.0 pA,70.0 pA,-5.0 pA,5.0 pA,15.0 pA,25.0 pA,35.0 pA,45.0 pA,55.0 pA,65.0 pA,75.0 pA,85.0 pA,-50.0 pA,-30.0 pA,90.0 pA,110.0 pA,130.0 pA,150.0 pA,170.0 pA,190.0 pA,210.0 pA,230.0 pA
Q68,2023_04_01_0072.abf,121.65993452483508,8.929369225830616,3.6621094,7.3242188,-17.089844,-3.0517578,-3998.413,-3245.8496,-2540.2832,-1825.5615,-1069.9463,-332.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q69,2023_04_01_0077.abf,153.4414966356457,13.392106605226417,4.272461,0.61035156,-12.207031,-3782.959,-3225.708,-2621.46,-2088.0127,-1536.8652,-1038.8184,-540.16113,5004.5,0.0,0.5004500000000001,-36.93389892578125,20.0,5025.0,0.5025,37.63580322265625,20.0,6769.5,0.6769499999999999,-50.17852783203125,15.0,5013.25,74.03521020323149,0.501325,-6.20269775390625,5044.0,-9.678648324362298,0.5044000000000001,23.97918701171875,5415.25,0.541525,-46.783447265625,20.0,4518.0,0.4518,-49.519856770833336,20.0,0.00695,7.691061779600032,10000.0,0.0,0.0,0.0,4.0,5.0,7.0,8.0,-54.234314,324.0094866071434,0.1637174,0.1031203933168829,0.0334,0.1699790355715256,0.2460666666666666,0.2394,0.1985,4.0,20.0,9.0,10.0,10.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.047044632438516,,,,,,,,,,,,,,,,,,,,,,,,,
Q71,2023_04_01_0084.abf,121.70011777982477,9.08652164356494,7.3242188,8.544922,-4.8828125,-4114.99,-3566.8945,-2975.4639,-2302.8564,-1625.9766,-895.9961,-145.26367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q72,2023_04_01_0091.abf,463.1073274214994,17.105164844114107,-3.0517578,-3.0517578,-4.8828125,-2357.788,-2058.7158,-1663.208,-1326.9043,-994.87305,-666.5039,-341.79688,1443.0,0.0,0.1443,-36.31591796875,0.0,1468.0,0.1468,22.15576171875,0.0,4807.0,0.4807,-49.041748046875,0.0,1451.0,50.12313718352843,0.1451,-17.791748046875,1505.0,-5.568831209476661,0.1505,6.591796875,1824.0,0.1824,-42.816162109375,0.0,5229.0,0.5229,-41.330973307291664,20.0,0.0087,9.000656564744189,10000.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,-51.58081,467.3985072544649,0.122841895,0.0758394152356924,0.0262,0.3292361145809431,0.1384,0.1198,0.0718999999999999,8.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678921561305733,0.0,1.3333333333333333,8.0,3.333333333333333,0.6666666666666666,0.0,0.0,4.0,7.333333333333333,8.666666666666666,3.333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,
Q73,2023_04_01_0102.abf,188.65209401067227,10.291430597333882,23.19336,9.765625,3.0517578,-1629.0283,-1201.7822,-857.54395,-700.07324,-427.2461,-43.33496,-1.8310547,3745.3333333333335,0.0,0.3745333333333334,-37.9638671875,20.0,3779.6666666666665,0.3779666666666667,19.06331443786621,20.0,6745.0,0.6745000000000001,-46.07136917114258,13.333333333333334,3752.3333333333335,40.37427743831342,0.3752333333333333,-25.50252342224121,3806.6666666666665,-7.024134180034845,0.3806666666666666,6.195068359375,4098.666666666667,0.4098666666666666,-38.35042190551758,20.0,3603.0,0.3603,-41.93115234375,20.0,0.0079333333333333,5.973379978521948,10000.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,-52.75879,321.08851841517884,0.1766818,0.1756721482641608,0.063,0.1756721482641608,0.19155,0.19155,0.1579,3.0,20.0,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,,,0.0308595697096165,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,
Q74,2023_04_01_0108.abf,341.96727764766547,9.35709439064525,3.0517578,-6.713867,-3.0517578,-3656.0059,-3590.088,-3279.419,-2801.5137,-2163.086,-1495.9717,-773.3154,6033.375,0.0,0.6033375000000001,-37.17041015625,20.0,6051.75,0.605175,32.749176025390625,20.0,6876.75,0.687675,-46.100616455078125,17.5,6041.375,75.36388471382429,0.6041375,-8.544921875,6064.25,-8.630037458058446,0.606425,24.566650390625,6367.125,0.6367125,-43.300628662109375,17.5,5923.714285714285,0.5923714285714288,-44.48154994419643,20.0,0.0067624999999999,9.031194385954787,10000.0,0.0,0.0,0.0,8.0,12.0,15.0,1.0,-54.610188,530.6570870535717,0.30052823,0.0625504367812815,0.0489999999999999,0.2224560724585641,0.1349714285714285,0.1412,0.0789,8.0,20.0,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,0.0459275389686111,0.0,2.0,8.0,3.333333333333333,,0.0,0.0,4.666666666666667,6.666666666666667,8.666666666666666,10.0,0.6666666666666666,,,,,,,,,,,,,
Q75,2023_04_01_0114.abf,153.95481670588688,8.548713367699605,-23.80371,-21.972656,4.272461,-2684.9365,-2997.4365,-3393.5547,-2841.1865,-2197.2656,-1479.4922,-764.7705,5592.0,0.0,0.5592,-32.440185546875,40.0,5615.666666666667,0.5615666666666667,38.85905075073242,40.0,7049.666666666667,0.7049666666666669,-48.65519332885742,26.666666666666668,5600.666666666667,54.118425144861625,0.5600666666666667,-7.303873538970947,5631.666666666667,-11.01510333961153,0.5631666666666667,26.91650390625,5897.666666666667,0.5897666666666667,-41.9921875,40.0,4017.0,0.4017,-43.7164306640625,40.0,0.0063333333333333,4.957053519119884,10000.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,-55.226643,392.4560546875001,0.25849128,0.2093549603923047,0.0580999999999999,0.2093549603923047,0.39765,0.39765,0.3144,3.0,40.0,10.0,6.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,0.0369201223126112,0.0,0.0,0.6666666666666666,4.666666666666667,,0.0,0.0,0.0,0.0,2.0,4.0,5.333333333333333,,,,,,,,,,,,,
Q76,2023_04_01_0121.abf,260.5884185061572,11.80438540748677,0.0,-0.61035156,-1.8310547,-4.272461,-1886.5967,-1828.0029,-1582.0312,-1239.0137,-823.9746,-363.76953,3750.0,0.0,0.375,-30.3955078125,40.0,3775.5,0.37755,25.482177734375,40.0,7839.5,0.78395,-50.262451171875,20.0,3759.5,48.09146375191126,0.37595,-10.345458984375,3793.5,-9.943725706100064,0.37935,12.1612548828125,3970.0,0.397,-38.2537841796875,40.0,2252.0,0.2252,-41.900634765625,40.0,0.0057499999999999,4.852098398852352,10000.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,-56.58366,381.7749023437504,0.1423444,0.1376701802394179,0.0264999999999999,0.7036541480654019,0.231575,0.15,0.1798,5.0,60.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,0.0296204825345328,0.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,2.0,,,,,,,,,,,,,
Q77,2023_04_01_0125.abf,296.26457230248604,8.176288896805168,1.2207031,-3.0517578,-10.375977,-3521.7285,-3645.0195,-3682.251,-3095.0928,-2423.706,-1620.4834,-755.61523,2348.0,0.0,0.2348,-35.70556640625,25.0,2366.0,0.2366,39.825439453125,25.0,18432.0,1.8432,-62.07275390625,0.0,2355.0,84.13435257106642,0.2355,-9.8876953125,2377.0,-12.927305175155476,0.2377,30.1513671875,2598.0,0.2598,-43.853759765625,25.0,5017.0,0.5017,-45.0286865234375,20.0,0.005,6.508266914960839,10000.0,0.0,0.0,0.0,0.0,3.333333333333333,6.666666666666667,11.0,-60.539753,558.4716796875002,0.1769475,0.1289579158361451,0.1232999999999999,0.2479283953991902,0.3183666666666667,0.3562,0.2085,2.6666666666666665,35.0,12.0,2.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,,,0.0705095877387784,0.0,0.0,1.3333333333333333,4.666666666666667,,0.0,0.0,0.0,0.6666666666666666,2.6666666666666665,4.0,6.666666666666667,,,,,,,,,,,,,
Q78,2023_04_01_0131.abf,124.39423223725184,11.939479146676655,14.6484375,6.713867,-6.1035156,-1831.665,-1782.8369,-1541.748,-1207.8857,-839.2334,-385.13184,3.6621094,4052.5,0.0,0.40525,-33.0963134765625,25.0,4082.0,0.4082,25.5126953125,25.0,10805.0,1.0805,-48.8739013671875,12.5,4060.0,43.30804200717724,0.406,-20.6451416015625,4105.0,-6.61563188244637,0.4105,14.434814453125,4472.0,0.4472,-41.3970947265625,25.0,2559.0,0.2559,-43.88427734375,25.0,0.00805,6.521344384623742,10000.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,-52.76591,262.4511718749998,0.041136276,0.1886574074074075,0.0675,0.1886574074074075,0.1728,0.1728,0.1402,2.0,40.0,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,0.0656576806571244,0.0,0.0,1.3333333333333333,0.6666666666666666,,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,3.333333333333333,0.6666666666666666,,,,,,,,,,,,,
